,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,6/4/24,SM114,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
KWP240528-N-1,1,165.26,11.25,9.10,1318.83,59.24,3.29,,,,,
KKS240528-N-1,2,158.89,8.29,6.27,1273.70,65.39,2.16,,,,,
KKP240528-N-1,3,130.71,7.43,4.59,440.92,42.75,2.33,,,,,
KCP240528-N-1,4,807.91,25.92,19.80,2670.44,682.52,17.73,,,,,
WKD240528-N-1,5,112.04,8.76,5.47,315.68,33.83,1.11,,,,,
WKB240528-N-1,6,128.24,8.49,5.36,229.64,42.14,2.52,,,,,
WUL240529-N-1,7,186.82,9.83,7.05,289.62,83.51,1.53,,,,,
WPL240529-N-1,8,120.81,7.65,4.26,420.68,30.88,3.26,,,,,
MMB240529-N-1,9,282.59,10.58,5.84,434.35,180.37,1.75,,,,,
MAN240529-N-1,10,101.51,7.90,5.06,293.15,6.67,3.29,,,,,
MAS240529-N-1,11,107.73,8.54,6.28,379.81,16.77,4.14,,,,,
NMH240530-N-1,12,139.47,8.41,6.42,373.52,44.61,6.11,,,,,
NMC240530-N-1,13,223.86,5.23,4.11,1046.25,119.31,5.11,,,,,
NHP240530-N-1,14,137.18,6.23,4.26,389.87,47.02,2.90,,,,,
NKP240530-N-1,15,101.76,6.99,4.61,65.84,2.52,4.46,,,,,
NKC240530-N-1,16,197.79,10.84,8.74,395.79,85.28,6.81,,,,,
NKN240530-N-1,17,246.60,10.95,9.81,1477.36,148.46,3.91,,,,,
