,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,3/11/2025,SM127,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NKN250304-N-1,1,155.35,12.67,8.48,1299.07,66.26,2.53
KWP250304-N-1,2,122.40,14.10,12.50,885.08,36.80,2.91
KKS250304-N-1,3,115.43,12.59,10.07,645.62,38.90,3.18
KKP250304-N-1,4,119.22,11.62,8.83,363.17,51.73,4.61
KCP250304-N-1,5,861.57,37.80,36.66,3818.84,715.96,8.47
WKD250304-N-1,6,85.31,11.05,7.47,171.34,16.77,2.38
WKB250305-N-1,7,83.53,9.24,4.25,100.35,13.23,4.03
WUL250305-N-1,8,169.59,11.82,7.45,252.33,71.90,4.02
WPL250305-N-1,9,87.31,9.80,4.62,126.40,23.05,3.36
MMB250305-N-1,10,169.15,10.98,7.33,307.78,93.74,2.88
MAN250305-N-1,11,83.10,10.24,6.52,348.75,8.76,4.09
MAS250305-N-1,12,87.92,10.06,7.32,342.91,14.19,5.30
NMH250306-N-1,13,115.40,11.62,8.18,375.64,37.80,8.76
NMC250306-N-1,14,259.70,16.77,13.74,609.90,117.68,50.65
NHP250306-N-1,15,107.70,12.55,6.81,375.99,41.53,3.90
NKP250306-N-1,16,66.97,10.15,5.29,87.38,1.52,2.17
NSB250306-N-1,17,95.94,13.95,9.60,364.21,16.15,12.23
NKC250306-N-1,18,290.57,15.56,10.39,896.21,119.19,12.75
