,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,4/24/2025,SM129,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NMP250415-N-1,1,232.75,16.12,11.19,1746.91,122.15,4.95
NKN250415-N-1,2,180.02,13.81,10.95,1561.01,85.17,2.76
KWP250415-N-1,3,136.50,15.84,13.53,1015.29,22.87,2.95
KKS250415-N-1,4,130.78,11.41,8.89,739.25,40.43,7.61
KKP250415-N-1,5,134.50,14.48,9.49,672.39,45.76,3.77
KCP250415-N-1,6,988.04,30.45,22.98,4062.86,602.30,5.43
WKD250415-N-1,7,93.90,12.09,7.63,164.79,18.73,<0.28
WKB250416-N-1,8,116.75,12.70,7.64,179.28,17.01,9.74
WUL250416-N-1,9,183.64,12.09,6.77,202.03,78.12,8.68
WPL250416-N-1,10,120.91,10.79,6.10,179.25,40.73,2.16
MMB250416-N-1,11,219.53,12.62,8.33,484.44,106.30,7.94
MAN250416-N-1,12,116.43,14.63,12.92,939.31,18.35,9.71
MAS250416-N-1,13,140.68,16.45,14.83,1011.61,44.10,2.20
NMH250417-N-1,14,114.59,13.05,8.59,420.58,36.76,4.90
NMC250417-N-1,15,320.08,12.77,9.19,1311.33,132.95,10.74
NHP250417-N-1,16,123.88,11.25,7.91,776.71,42.78,2.11
NKP250417-N-1,17,78.25,10.26,5.20,76.83,1.77,0.71
NSB250417-N-1,18,100.97,14.01,9.57,424.19,14.20,2.99
NKC250417-N-1,19,230.14,15.08,10.96,733.40,117.19,4.99
