,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,5/16/24,SM113,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
KWP240507-N-1,1,133.49,10.68,8.80,871.72,39.28,3.22,,,,,
KKS240507-N-1,2,112.62,7.48,3.77,711.76,26.39,1.65,,,,,
KKP240507-N-1,3,99.06,8.89,5.48,456.70,15.94,3.92,,,,,
KCP240507-N-1,4,761.92,23.55,21.81,2695.81,653.20,7.53,,,,,
WKD240507-N-1,5,107.60,9.55,4.57,203.17,29.38,0.67,,,,,
WKB240507-N-1,6,110.60,9.05,4.64,133.63,21.02,5.79,,,,,
WUL240508-N-1,7,272.95,10.04,6.50,396.00,157.47,2.12,,,,,
WPL240508-N-1,8,147.04,8.32,4.36,286.82,72.50,2.59,,,,,
MMB240508-N-1,9,287.05,9.95,5.77,453.59,173.86,0.39,,,,,
MAN240508-N-1,10,81.74,9.17,5.27,321.85,8.67,2.27,,,,,
MAS240508-N-1,11,120.71,11.38,9.51,639.50,38.17,3.25,,,,,
NMH240509-N-1,12,121.33,9.57,6.94,340.63,45.62,5.46,,,,,
NMC240509-N-1,13,242.73,9.56,7.35,777.03,136.64,4.83,,,,,
NHP240509-N-1,14,126.81,9.38,5.87,360.06,51.88,2.55,,,,,
NKP240509-N-1,15,82.85,9.24,4.84,79.55,3.46,6.26,,,,,
NKC240509-N-1,16,182.96,12.57,8.76,395.91,79.82,2.08,,,,,
NKN240509-N-1,17,219.01,11.80,10.20,1264.67,127.88,3.08,,,,,
