,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,2/19/2025,SM126,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NKN250211-N-1,1,150.01,15.71,12.81,858.38,58.15,6.44
KWP250211-N-1,2,114.06,15.64,13.09,514.43,28.25,2.95
KKS250211-N-1,3,109.26,13.37,8.78,501.47,29.32,3.81
KKP250211-N-1,4,117.87,16.46,8.44,333.56,37.46,2.94
KCP250211-N-1,5,595.53,31.05,29.96,2378.00,538.73,17.03
WKD250211-N-1,6,83.51,10.38,4.30,110.49,6.52,0.66
S250211-N-1,7,126.27,12.40,7.55,584.50,41.75,5.17
W250211-N-1,8,151.43,13.27,8.46,682.38,64.97,4.80
E250211-N-1,9,831.98,37.20,35.91,3040.11,717.02,18.99
T250211-N-1,10,836.68,40.81,39.28,3482.74,765.57,14.42
D250211-N-1,11,84.23,11.01,4.83,55.90,1.12,1.03
M250211-N-1,12,87.45,9.69,4.42,74.85,1.58,6.00
WKB250122-N-1,13,82.40,8.90,4.11,71.41,4.77,3.98
WUL250122-N-1,14,90.27,11.22,6.58,188.87,13.37,3.02
WPL250122-N-1,15,86.70,9.77,4.75,113.11,13.35,2.20
MMB250122-N-1,16,101.08,11.53,6.83,315.07,20.70,11.29
MAN250122-N-1,17,87.03,9.05,5.24,196.66,5.96,2.76
MAS250122-N-1,18,135.02,16.26,14.48,1294.78,70.10,2.05
NMH250123-N-1,19,112.91,10.36,6.05,331.86,28.98,5.30
NMC250123-N-1,20,154.29,12.04,7.12,427.75,64.09,6.02
NHP250123-N-1,21,108.52,10.32,5.73,260.63,33.45,3.63
NKP250123-N-1,22,78.69,9.53,4.56,79.17,1.23,2.15
NKC250123-N-1,23,170.82,16.71,11.62,380.15,69.15,21.16
