,,Data Provided by:,,,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,,,
,,808-956-5878,,,,,,,,,,,,
,,Date Samples Received:,,2/11/26,SM143,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,,,
"ID",Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,,,
NMP260203-N-1,1,109.97,16.02,12.06,430.02,40.84,5.52,,,,,,,
NKN260203-N-1,2,81.74,15.35,9.04,172.80,12.36,3.44,,,,,,,
KWP260203-N-1,3,77.54,15.26,10.32,170.17,10.98,2.63,,,,,,,
KKS260203-N-1,4,110.10,15.88,11.22,333.96,41.18,1.78,,,,,,,
KKP260203-N-1,5,84.81,14.01,9.22,194.63,19.53,2.05,,,,,,,
KCP260203-N-1,6,327.80,19.87,16.53,1137.88,191.77,2.78,,,,,,,
WKD260203-N-1,7,67.67,11.26,5.23,64.39,3.15,1.02,,,,,,,
WKB260204-N-1,8,66.85,12.20,6.42,89.47,6.93,0.71,,,,,,,
WUL260204-N-1,9,66.03,12.28,6.04,73.21,5.43,0.66,,,,,,,
WPL260204-N-1,10,70.92,11.70,5.58,95.60,7.47,1.48,,,,,,,
MMB260204-N-1,11,65.84,12.22,6.68,120.82,5.85,0.32,,,,,,,
MAN260204-N-1,12,72.04,11.91,6.18,130.95,3.34,0.61,,,,,,,
MAS260204-N-1,13,86.52,14.22,10.76,726.38,25.95,0.42,,,,,,,
NMH260205-N-1,14,94.62,13.14,7.53,380.14,28.38,4.53,,,,,,,
NMC260205-N-1,15,114.54,11.11,6.26,338.96,41.56,3.74,,,,,,,
NHP260205-N-1,16,104.33,11.28,6.30,299.89,40.34,0.39,,,,,,,
NKP260205-N-1,17,62.26,12.34,5.14,60.76,1.60,0.55,,,,,,,
NSB260205-N-1,18,72.45,13.14,8.38,158.32,11.43,1.20,,,,,,,
NKC260205-N-1,19,101.59,13.83,8.84,183.98,32.88,0.43,,,,,,,
