,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,2/21/24,SM109,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
KWP240213-N-1,1,64.53,14.38,9.60,189.00,5.60,1.51,,,,,
KKS240213-N-1,2,90.89,14.34,9.46,475.21,33.32,2.55,,,,,
KKP240213-N-1,3,61.92,12.45,6.14,167.07,7.46,1.42,,,,,
KCP240213-N-1,4,335.08,18.98,16.67,850.75,267.47,6.37,,,,,
WKD240213-N-1,5,63.48,11.66,3.67,73.44,3.59,0.35,,,,,
WKB240213-N-1,6,88.42,11.78,5.37,143.53,24.81,1.14,,,,,
WUL240214-N-1,7,102.69,12.25,5.18,183.37,58.26,1.45,,,,,
WPL240214-N-1,8,87.21,9.11,3.87,112.92,8.62,9.23,,,,,
MMB240214-N-1,9,109.31,11.61,5.65,218.03,64.23,0.50,,,,,
MAN240214-N-1,10,66.19,10.11,4.07,129.21,4.85,3.41,,,,,
MAS240214-N-1,11,83.08,9.64,6.22,268.04,25.23,1.69,,,,,
NMH240215-N-1,12,109.84,13.98,8.33,441.13,59.99,5.60,,,,,
NMC240215-N-1,13,145.71,11.59,5.80,550.58,97.69,4.81,,,,,
NHP240215-N-1,14,156.81,10.81,7.13,541.46,110.89,2.06,,,,,
NKP240215-N-1,15,92.14,11.31,5.46,361.81,36.72,2.47,,,,,
NKC240215-N-1,16,107.69,14.92,11.35,425.00,55.59,8.63,,,,,
NKN240215-N-1,17,114.41,12.37,7.99,773.99,64.25,3.97,,,,,
