,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,6/4/2025,SM131,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NMP250527-N-1,1,259.11,14.22,10.02,1504.33,133.45,0.57
NKN250527-N-1,2,235.33,13.98,9.73,1152.92,91.70,6.58
KWP250527-N-1,3,126.38,16.58,11.62,976.31,35.05,3.63
KKS250527-N-1,4,142.29,13.59,8.75,928.23,51.19,3.39
KKP250527-N-1,5,116.68,12.97,7.02,500.14,26.82,11.20
KCP250527-N-1,6,837.73,22.78,18.74,3211.85,613.44,6.24
WKD250527-N-1,7,117.14,13.99,7.04,261.85,40.03,0.89
WKB250528-N-1,8,95.90,11.84,5.90,289.70,18.92,5.19
WUL250528-N-1,9,189.38,13.59,7.90,387.30,78.80,2.13
WPL250528-N-1,10,149.75,12.52,6.74,364.35,50.72,2.49
MMB250528-N-1,11,171.23,12.91,6.79,309.24,63.44,<0.28
MAN250528-N-1,12,76.04,12.67,6.96,358.13,6.88,1.11
MAS250528-N-1,13,85.70,14.74,10.82,654.61,22.65,1.22
NMH250529-N-1,14,117.34,14.44,8.72,389.14,40.02,5.53
NMC250529-N-1,15,218.11,12.40,6.35,889.78,84.87,6.11
NHP250529-N-1,16,103.68,12.96,6.41,280.33,27.56,1.51
NKP250529-N-1,17,78.11,12.41,5.94,63.88,2.66,1.38
NSB250529-N-1,18,81.07,16.25,10.15,295.52,7.15,<0.28
NKC250529-N-1,19,199.43,16.62,10.52,628.14,82.33,3.07
