,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,11/20/2025,SM139,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NMP251111-N-1,1,179.07,14.82,10.93,1018.46,104.10,2.63
NKN251111-N-1,2,123.46,13.94,9.26,635.84,48.20,5.16
KWP251111-N-1,3,122.93,15.80,11.90,810.71,49.39,3.52
KKS251111-N-1,4,132.05,14.36,10.43,799.71,54.85,2.61
KKP251111-N-1,5,118.02,14.21,7.23,285.86,42.04,3.32
KCP251111-N-1,6,199.08,23.19,17.45,638.30,120.59,11.25
WKD251111-N-1,7,94.44,13.59,6.87,175.77,17.75,2.27
WKB251112-N-1,8,72.80,9.89,3.84,84.34,8.11,2.26
WUL251112-N-1,9,72.66,10.41,4.19,88.04,7.88,2.85
WPL251112-N-1,10,78.46,10.50,4.18,115.76,11.89,1.20
MMB251112-N-1,11,89.82,11.22,5.80,165.56,22.91,1.80
MAN251112-N-1,12,64.69,9.73,4.60,126.19,2.41,2.08
MAS251112-N-1,13,67.68,9.79,4.76,69.05,4.31,2.30
NMH251113-N-1,14,126.52,13.82,9.87,517.40,60.35,9.66
NMC251113-N-1,15,169.52,12.65,6.98,633.64,99.76,5.35
NHP251113-N-1,16,81.25,12.03,6.07,167.39,21.01,1.22
NKP251113-N-1,17,64.05,10.53,4.88,49.61,2.09,2.75
NSB251113-N-1,18,74.08,13.20,7.65,178.80,12.88,1.66
NKC251113-N-1,19,122.16,13.96,7.93,326.75,56.61,1.19
