,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,8/28/2025,SM135,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NMP250819-N-1,1,237.58,13.21,10.40,2100.26,143.62,2.08
NKN250819-N-1,2,96.48,10.73,5.08,701.95,25.54,2.39
KWP250819-N-1,3,113.21,16.06,11.59,1399.12,38.06,2.21
KKS250819-N-1,4,99.13,11.21,7.30,647.45,17.13,2.50
KKP250819-N-1,5,140.51,12.23,5.92,439.21,70.25,3.37
KCP250819-N-1,6,636.44,28.19,25.33,2166.24,489.58,9.05
WKD250819-N-1,7,92.24,12.43,6.37,193.54,20.44,2.04
WKB250820-N-1,8,114.21,12.99,5.89,118.09,9.68,8.15
WUL250820-N-1,9,178.18,14.04,7.19,295.32,105.93,3.38
WPL250820-N-1,10,127.57,18.27,6.68,255.43,28.03,20.51
MMB250820-N-1,11,158.65,13.00,4.84,252.81,87.76,2.79
MAN250820-N-1,12,82.60,13.01,6.62,497.66,7.25,5.37
MAS250820-N-1,13,83.06,12.60,6.13,237.84,9.56,5.91
NMH250821-N-1,14,143.77,17.23,10.55,455.20,40.58,14.36
NMC250821-N-1,15,197.74,10.91,5.20,926.17,112.36,9.06
NHP250821-N-1,16,107.14,12.14,5.01,328.59,41.00,3.37
NKP250821-N-1,17,71.29,11.90,5.70,66.59,0.92,3.19
NSB250821-N-1,18,106.41,16.70,8.56,327.27,13.24,5.53
NKC250821-N-1,19,159.12,14.82,8.91,499.29,87.94,4.77
