,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,4/24/24,SM112,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
KWP240416-N-1,1,120.27,13.16,8.71,372.91,10.48,2.91,,,,,
KKS240416-N-1,2,172.22,11.62,6.15,495.02,45.75,4.56,,,,,
KKP240416-N-1,3,106.43,11.21,4.52,171.89,11.85,3.63,,,,,
KCP240416-N-1,4,802.90,30.25,27.04,3427.69,712.29,7.14,,,,,
WKD240416-N-1,5,128.26,11.22,6.24,275.36,36.36,0.84,,,,,
WKB240416-N-1,6,108.21,14.86,4.98,151.30,8.28,1.70,,,,,
WUL240417-N-1,7,193.00,12.52,6.86,336.28,97.20,1.47,,,,,
WPL240417-N-1,8,140.18,10.76,4.27,260.27,46.51,4.86,,,,,
MMB240417-N-1,9,193.48,11.35,6.27,350.86,92.71,0.68,,,,,
MAN240417-N-1,10,104.96,10.80,4.56,194.43,8.49,1.06,,,,,
MAS240417-N-1,11,111.44,10.93,7.15,436.17,19.63,1.09,,,,,
NMH240418-N-1,12,127.86,12.65,8.04,400.57,39.75,5.64,,,,,
NMC240418-N-1,13,214.43,11.68,6.87,638.45,120.44,3.48,,,,,
NHP240418-N-1,14,146.52,11.50,6.40,385.77,57.58,1.07,,,,,
NKP240418-N-1,15,91.74,10.83,3.75,97.38,2.74,1.25,,,,,
NKC240418-N-1,16,187.94,15.42,10.43,381.56,93.66,2.21,,,,,
NKN240418-N-1,17,177.88,14.07,12.38,827.42,85.44,3.48,,,,,
