,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,1/30/2025,SM125,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NKN250121-N-1,1,165.01,14.57,7.93,1211.90,73.30,4.75
KWP250121-N-1,2,116.38,14.88,8.46,767.33,39.61,1.17
KKS250121-N-1,3,116.03,14.03,7.69,714.21,42.77,1.26
KKP250121-N-1,4,116.93,14.21,7.87,443.83,45.99,2.26
KCP250121-N-1,5,573.26,33.47,28.43,2003.59,398.97,141.60
WKD250121-N-1,6,97.57,13.87,6.13,158.06,21.42,2.92
WKB250122-N-1,7,86.08,12.37,4.64,111.67,8.91,2.76
WUL250122-N-1,8,167.88,14.39,7.09,251.52,76.23,3.30
WPL250122-N-1,9,86.11,12.34,4.47,76.13,12.56,1.74
MMB250122-N-1,10,153.40,14.09,6.61,328.56,66.67,1.10
MAN250122-N-1,11,82.87,12.95,6.30,311.44,6.21,2.87
MAS250122-N-1,12,86.71,13.73,7.83,406.62,18.50,1.84
NMH250123-N-1,13,112.28,14.86,7.93,416.57,31.69,6.36
NMC250123-N-1,14,262.63,12.21,6.51,604.94,120.14,5.03
NHP250123-N-1,15,172.75,16.51,7.09,464.77,90.97,3.94
NKP250123-N-1,16,74.02,13.67,4.32,72.97,3.21,1.62
NKC250123-N-1,17,171.87,16.39,8.16,254.07,79.89,2.95
