,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,4/3/24,SM111,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
KWP240326-N-1,1,83.60,13.16,10.39,634.29,9.47,2.52,,,,,
KKS240326-N-1,2,116.00,11.38,7.67,623.02,35.27,2.26,,,,,
KKP240326-N-1,3,89.66,10.36,6.98,280.86,17.53,3.28,,,,,
KCP240326-N-1,4,238.78,14.36,11.60,1047.74,74.84,6.10,,,,,
WKD240326-N-1,5,97.42,11.26,6.89,208.53,26.76,1.92,,,,,
WKB240326-N-1,6,85.30,9.89,4.71,118.40,15.40,3.47,,,,,
WUL240327-N-1,7,139.12,11.96,7.05,223.33,89.83,3.47,,,,,
WPL240327-N-1,8,105.99,10.53,5.40,182.07,25.99,2.20,,,,,
MMB240327-N-1,9,132.05,11.24,6.46,225.17,61.00,1.15,,,,,
MAN240327-N-1,10,85.74,10.66,5.98,304.78,12.74,2.77,,,,,
MAS240327-N-1,11,105.70,13.87,11.19,842.49,39.86,1.67,,,,,
NMH240328-N-1,12,129.51,10.86,7.07,438.54,54.49,5.12,,,,,
NMC240328-N-1,13,257.23,10.92,6.30,1034.92,161.21,4.87,,,,,
NHP240328-N-1,14,179.40,10.82,8.14,646.26,122.20,2.42,,,,,
NKP240328-N-1,15,69.94,9.94,5.99,80.70,2.29,2.89,,,,,
NKC240328-N-1,16,233.28,16.04,12.30,459.09,174.24,4.30,,,,,
NKN240328-N-1,17,326.53,17.06,14.22,2656.40,272.49,5.92,,,,,
