,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,7/17/2025,SM133,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NMP250708-N-1,1,290.49,16.63,13.62,1612.89,202.50,1.92
NKN250708-N-1,2,218.84,13.83,9.66,1144.98,140.74,2.90
KWP250708-N-1,3,115.69,16.87,13.40,1118.72,17.31,3.34
KKS250708-N-1,4,103.62,11.33,7.57,621.28,22.58,1.37
KKP250708-N-1,5,129.13,12.04,6.92,304.58,45.95,5.24
KCP250708-N-1,6,758.06,34.72,30.93,2787.63,667.47,12.86
WKD250708-N-1,7,109.52,16.60,6.89,181.57,31.54,2.29
WKB250709-N-1,8,87.47,11.04,4.50,103.33,13.01,4.46
WUL250709-N-1,9,201.88,13.38,7.74,260.67,122.49,4.16
WPL250709-N-1,10,129.15,12.19,5.94,251.70,54.39,3.12
MMB250709-N-1,11,216.87,12.88,6.97,386.96,140.05,0.97
MAN250709-N-1,12,83.00,11.39,7.32,543.54,8.60,2.89
MAS250709-N-1,13,96.04,14.94,11.10,780.30,30.00,2.48
NMH250710-N-1,14,124.12,13.04,7.71,430.94,46.23,7.25
NMC250710-N-1,15,281.74,9.28,6.53,1387.26,191.38,5.21
NHP250710-N-1,16,119.31,10.94,6.25,357.32,38.66,3.38
NKP250710-N-1,17,94.55,10.71,4.59,81.46,2.07,3.23
NSB250710-N-1,18,138.41,19.30,12.91,466.18,36.97,7.55
NKC250710-N-1,19,194.31,15.03,9.36,518.09,118.16,3.42
