,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,5/13/2025,SM130,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NMP250506-N-1,1,282.11,15.95,11.26,2399.76,201.70,2.91
NKN250506-N-1,2,157.60,11.30,6.31,1578.87,82.81,2.65
KWP250506-N-1,3,102.15,13.89,10.39,1252.33,22.56,1.49
KKS250506-N-1,4,146.64,12.68,8.89,932.42,66.78,2.77
KKP250506-N-1,5,91.38,11.02,4.89,337.61,13.99,2.31
KCP250506-N-1,6,985.91,37.02,12.92,3671.44,805.55,<0.28
WKD250506-N-1,7,83.76,11.58,5.78,163.34,17.45,1.87
WKB250507-N-1,8,88.68,10.99,5.59,121.87,19.97,6.56
WUL250507-N-1,9,201.60,16.11,7.45,310.36,130.32,3.30
WPL250507-N-1,10,117.23,10.35,4.01,226.97,47.53,7.40
MMB250507-N-1,11,191.06,11.47,5.51,340.68,123.17,1.08
MAN250507-N-1,12,77.99,10.77,6.35,403.76,7.42,5.11
MAS250507-N-1,13,106.43,13.73,8.65,522.03,20.43,4.17
NMH250508-N-1,14,121.63,13.81,8.05,468.38,44.40,7.72
NMC250508-N-1,15,235.91,8.09,3.78,1831.48,150.58,5.24
NHP250508-N-1,16,158.99,13.23,7.36,738.90,85.25,2.01
NKP250508-N-1,17,64.53,11.97,4.39,51.17,1.69,1.72
NSB250508-N-1,18,84.50,15.56,9.02,391.42,11.03,<0.28
NKC250508-N-1,19,202.49,15.81,8.31,740.49,118.34,5.49
