,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,11/21/2024,SM122,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP241112-N-1,1,122.55,10.51,8.13,917.46,24.66,6.59
KKS241112-N-1,2,169.03,8.06,6.61,585.06,58.00,5.13
KKP241112-N-1,3,146.26,11.86,7.29,409.43,51.68,5.27
KCP241112-N-1,4,864.49,42.38,32.43,3126.28,722.89,15.27
WKD241112-N-1,5,89.71,6.53,3.87,133.85,17.15,0.48
WKB241112-N-1,6,88.61,7.25,3.85,112.90,7.49,3.11
WUL241113-N-1,7,153.27,6.70,4.55,237.29,74.57,3.00
WPL241113-N-1,8,88.32,6.50,3.33,112.58,15.06,1.68
MMB241113-N-1,9,98.47,7.45,3.58,161.42,20.79,1.31
MAN241113-N-1,10,105.88,9.73,7.96,714.72,15.26,3.69
MAS241113-N-1,11,107.68,10.03,7.24,443.72,18.64,3.25
NMH241114-N-1,12,123.99,7.73,5.52,414.39,45.95,5.21
NMC241114-N-1,13,167.21,3.26,2.06,569.10,72.57,4.49
NHP241114-N-1,14,206.36,7.55,6.18,533.49,101.34,3.00
NKP241114-N-1,15,75.03,5.32,3.63,63.38,1.49,1.84
NKC241114-N-1,16,197.87,9.61,6.21,351.32,117.39,3.14
NKN241114-N-1,17,258.39,11.61,10.28,1563.09,154.07,5.88
