,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,9/18/2024,SM119,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP240910-N-1,1,89.21,9.56,8.18,619.87,9.40,5.45
KKS240910-N-1,2,82.61,7.41,5.03,417.55,13.21,0.68
KKP240910-N-1,3,78.06,6.24,2.88,277.83,5.38,0.66
KCP240910-N-1,4,300.87,10.12,7.98,704.06,191.84,3.05
WKD240910-N-1,5,84.77,8.61,6.23,174.88,16.52,0.64
WKB240910-N-1,6,82.48,7.82,4.86,62.86,3.30,2.69
WUL240911-N-1,7,130.79,9.33,6.38,127.34,18.52,25.93
WPL240911-N-1,8,86.35,8.37,5.14,85.70,11.13,2.67
MMB240911-N-1,9,93.21,8.71,5.64,278.07,22.31,0.60
MAN240911-N-1,10,90.85,8.73,6.87,315.77,3.95,5.17
MAS240911-N-1,11,79.65,8.05,5.48,109.20,3.76,3.70
NMH240912-N-1,12,133.20,11.98,8.90,482.15,52.43,11.22
NMC240912-N-1,13,153.97,7.71,5.17,521.53,67.34,6.62
NHP240912-N-1,14,133.58,9.36,6.86,402.12,52.60,2.71
NKP240912-N-1,15,74.86,8.76,5.76,107.16,2.55,1.87
NKC240912-N-1,16,116.06,9.92,7.29,250.87,44.34,1.25
NKN240912-N-1,17,117.64,9.34,6.98,635.70,46.16,1.57
