,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,10/29/2024,SM121,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP241022-N-1,1,148.38,11.62,9.31,976.17,45.15,4.97
KKS241022-N-1,2,104.52,7.18,4.94,515.59,20.43,2.77
KKP241022-N-1,3,132.67,6.43,3.81,399.97,40.28,5.24
KCP241022-N-1,4,221.77,14.90,12.47,466.22,90.98,38.87
WKD241022-N-1,5,94.44,7.39,3.22,97.22,7.87,3.26
WKB241022-N-1,6,91.98,5.79,2.43,100.23,5.37,4.10
WUL241023-N-1,7,95.67,7.41,3.61,108.60,8.94,4.42
WPL241023-N-1,8,107.52,5.91,2.08,96.06,11.36,6.63
MMB241023-N-1,9,100.01,6.35,2.76,126.04,18.17,2.12
MAN241023-N-1,10,98.70,5.97,3.13,141.74,5.68,5.66
MAS241023-N-1,11,87.90,6.20,3.88,131.39,7.25,4.19
NMH241024-N-1,12,141.02,8.94,5.78,396.26,52.85,10.38
NMC241024-N-1,13,232.09,6.34,4.33,630.61,122.55,8.42
NHP241024-N-1,14,115.57,6.06,3.53,219.49,30.02,3.09
NKP241024-N-1,15,84.11,8.12,2.12,75.39,2.72,3.06
NKC241024-N-1,16,125.20,10.24,4.34,246.97,39.34,3.04
NKN241024-N-1,17,108.85,7.86,4.87,627.86,29.74,5.65
