,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,12/18/2025,WM165,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS251209-N-1,1,70.65,10.53,6.34,178.73,8.06,1.66
RPO251209-N-1,2,77.93,13.04,7.43,343.32,22.53,2.20
RKS251209-N-1,3,64.29,10.49,6.79,243.62,5.32,<0.28
RCB251209-N-1,4,74.13,17.19,6.20,147.04,6.79,3.85
RWA251209-N-1,5,63.17,14.46,8.10,272.87,3.79,<0.28
PLH251210-N-1,6,80.26,12.47,9.76,473.32,4.13,3.36
PLT251210-N-1,7,95.38,11.39,6.90,245.79,4.02,18.19
OCO251210-N-1,8,70.92,7.50,4.43,272.48,4.39,1.72
OMM251210-N-1,9,61.35,7.19,4.93,374.56,3.82,1.30
OUB251210-N-1,10,66.34,8.09,4.30,91.46,1.88,0.94
OPP251210-N-1,11,56.84,8.45,4.76,163.29,2.56,<0.28
RHL251211-N-1,12,72.42,10.61,6.90,480.27,1.92,0.85
RFS251211-N-1,13,79.91,12.41,8.24,189.89,6.48,4.86
RKO251211-N-1,14,70.26,11.85,9.11,436.08,11.14,1.33
RKV251211-N-1,15,70.55,11.12,7.11,458.65,9.89,0.44
LMT251212-N-1,16,64.31,10.45,6.03,267.14,9.91,1.28
LMR251212-N-1,17,59.71,9.38,5.38,510.28,3.52,1.01
LPS251212-N-1,18,56.58,8.90,4.95,145.51,1.58,0.33
LLH251212-N-1,19,59.40,17.58,5.04,161.10,2.40,2.83
PFF251212-N-1,20,54.82,10.23,6.22,241.93,2.60,<0.28
