,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,11/27/2024,WM147,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS241119-N-1,1,82.48,12.63,6.91,242.43,9.25,3.00
RPO241119-N-1,2,94.20,12.01,7.38,281.21,18.14,3.46
RKS241119-N-1,3,82.09,11.97,7.78,319.48,12.20,1.01
RKT241119-N-1,4,94.36,11.92,6.42,190.06,21.11,2.03
RCB241119-N-1,5,84.26,10.81,6.60,204.66,7.50,2.99
RWA241119-N-1,6,81.42,13.67,8.78,399.78,9.20,1.89
PLH241120-N-1,7,85.10,14.51,11.38,537.32,11.42,5.78
PLT241120-N-1,8,85.94,16.16,11.84,502.40,12.14,3.44
OCO241120-N-1,9,75.89,7.74,4.22,275.97,4.07,1.72
OMM241120-N-1,10,73.33,8.37,5.30,255.80,7.86,1.92
OUB241120-N-1,11,75.38,9.07,4.45,53.56,4.11,1.25
OPP241120-N-1,12,70.98,9.92,4.88,161.10,4.52,0.95
RHL241121-N-1,13,82.16,10.71,5.29,198.75,2.73,3.49
RON241121-N-1,14,74.25,11.08,4.52,164.64,2.71,0.78
RFS241121-N-1,15,89.05,11.59,6.87,131.62,8.80,2.66
RKO241121-N-1,16,78.23,10.40,6.38,168.06,7.37,1.30
RKV241121-N-1,17,80.59,11.09,7.55,274.19,7.81,1.23
LMT241122-N-1,18,87.37,10.24,5.65,245.18,9.30,3.14
LMR241122-N-1,19,79.57,9.88,5.85,601.66,4.27,3.48
LPS241122-N-1,20,97.34,9.36,4.70,115.08,1.69,3.16
LLH241122-N-1,21,77.78,8.41,4.41,146.97,3.08,3.14
PFF241122-N-1,22,94.50,11.60,6.64,157.86,3.54,1.60
