,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,5/21/24,WM138,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RNS240514-N-1,1,101.12,12.68,8.12,542.16,19.74,2.62,,,,
RPO240514-N-1,2,347.87,16.38,14.47,2272.06,253.25,0.96,,,,
RKS240514-N-1,3,74.77,8.02,4.07,138.47,3.94,1.08,,,,
RKT240514-N-1,4,84.67,9.95,5.16,237.83,7.62,1.04,,,,
RCB240514-N-1,5,168.08,13.73,11.37,1032.42,84.22,2.22,,,,
RWA240514-N-1,6,105.36,15.11,12.99,1258.82,31.40,<0.28,,,,
OCO240515-N-1,7,78.35,10.11,7.74,406.63,3.75,0.44,,,,
OMM240515-N-1,8,75.57,7.39,4.49,269.54,4.50,1.20,,,,
OUB240515-N-1,9,77.53,8.32,4.13,65.82,2.06,<0.28,,,,
OPP240515-N-1,10,89.01,6.72,3.93,71.59,2.03,2.27,,,,
RHL240516-N-1,11,100.65,11.22,7.77,572.75,5.13,8.47,,,,
RON240516-N-1,12,117.19,11.57,5.89,301.53,2.71,3.58,,,,
RFS240516-N-1,13,129.22,14.21,12.46,766.25,44.62,2.35,,,,
RKO240516-N-1,14,125.61,13.71,11.80,931.14,47.97,1.32,,,,
RKV240516-N-1,15,101.38,9.95,7.07,565.48,23.62,0.71,,,,
LMT240517-N-1,16,78.90,11.43,5.97,154.24,4.06,0.79,,,,
LMR240517-N-1,17,78.33,9.81,7.19,341.61,3.62,1.53,,,,
LPS240517-N-1,18,118.95,9.91,6.53,324.21,3.93,5.41,,,,
LLH240517-N-1,19,84.32,10.73,6.79,215.86,3.63,3.95,,,,
PFF240517-N-1,20,88.08,11.72,9.06,451.01,9.32,1.14,,,,
PLH240517-N-1,21,96.61,12.17,9.18,477.89,14.14,5.41,,,,
PLT240517-N-1,22,86.71,10.74,7.50,257.33,6.57,3.74,,,,
,,,,,,,,,,,
