,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,7/25/2024,WM141,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS240716-N-1,1,109.45,13.15,7.49,649.14,23.28,3.85
RPO240716-N-1,2,202.62,13.08,9.32,1083.97,134.77,3.04
RKS240716-N-1,3,71.08,9.97,3.43,153.74,3.81,0.99
RKT240716-N-1,4,79.76,9.96,3.40,155.32,3.06,0.64
RCB240716-N-1,5,111.79,13.11,6.33,484.08,36.84,1.93
RWA240716-N-1,6,80.32,13.96,6.37,450.31,8.87,0.49
OCO240717-N-1,7,79.52,7.78,2.69,400.65,5.32,1.86
OMM240717-N-1,8,83.21,7.88,2.43,285.47,2.96,3.27
OUB240717-N-1,9,77.49,8.89,2.55,75.83,1.76,1.18
OPP240717-N-1,10,70.13,8.38,0.64,144.18,1.51,1.18
RHL240718-N-1,11,83.44,12.76,5.89,542.42,2.98,5.55
RON240718-N-1,12,83.53,8.66,1.13,104.20,2.51,1.54
RFS240718-N-1,13,157.70,16.47,12.64,928.96,76.09,3.56
RKO240718-N-1,14,114.37,11.82,6.50,612.57,43.30,1.52
RKV240718-N-1,15,94.40,9.91,3.41,453.67,16.70,3.09
LMT240719-N-1,16,75.70,8.66,3.85,325.60,8.03,2.28
LMR240719-N-1,17,94.96,9.93,4.74,299.71,3.99,5.39
LPS240719-N-1,18,67.72,8.82,3.90,257.51,1.37,0.41
LLH240719-N-1,19,118.87,11.40,5.97,312.79,4.32,7.61
PFF240719-N-1,20,68.46,9.20,4.24,151.26,1.84,1.38
PLH240719-N-1,21,72.50,11.17,5.88,309.08,3.65,3.21
PLT240719-N-1,22,68.52,8.96,3.85,157.46,3.49,2.38
