,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,9/24/2024,WM144,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS240917-N-1,1,107.85,12.09,10.36,933.27,35.27,2.92
RPO240917-N-1,2,261.14,11.90,10.48,1262.08,173.15,3.79
RKS240917-N-1,3,84.28,7.23,4.10,263.34,8.26,3.33
RKT240917-N-1,4,83.04,8.03,5.01,247.83,5.49,1.12
RCB240917-N-1,5,95.72,9.63,5.33,363.39,17.60,2.61
RWA240917-N-1,6,94.55,12.14,9.91,901.74,23.17,1.29
OCO240918-N-1,7,80.37,5.38,2.86,302.48,5.02,1.87
OMM240918-N-1,8,73.54,4.77,2.74,406.11,4.00,1.32
OUB240918-N-1,9,75.10,6.56,4.88,198.46,4.25,1.00
OPP240918-N-1,10,74.54,5.98,2.61,141.05,1.25,1.24
RHL240919-N-1,11,92.87,8.04,4.65,318.57,3.15,4.70
RON240919-N-1,12,83.31,7.36,3.51,53.77,2.37,1.16
RFS240919-N-1,13,146.45,12.40,11.42,1293.35,68.71,2.61
RKO240919-N-1,14,94.48,10.61,7.68,371.55,27.43,2.46
RKV240919-N-1,15,97.87,8.07,4.77,441.64,20.19,2.00
LMT240920-N-1,16,90.32,8.45,5.04,587.70,12.79,2.61
LMR240920-N-1,17,79.60,9.13,5.95,643.31,4.05,3.52
LPS240920-N-1,18,74.25,6.87,3.45,200.05,1.20,1.65
LLH240920-N-1,19,84.77,9.10,4.09,203.18,3.83,3.89
PFF240920-N-1,20,79.15,9.19,6.73,320.34,4.61,0.63
PLH240920-N-1,21,86.43,10.89,7.36,567.61,9.63,4.86
PLT240920-N-1,22,89.42,10.42,7.53,558.72,12.36,5.44
