,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,2/25/2025,WM151,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS250218-N-1,1,91.49,11.54,8.21,394.75,14.22,2.75
RPO250218-N-1,2,129.73,12.09,9.48,679.28,59.98,2.75
RKS250218-N-1,3,74.29,9.47,6.33,194.38,5.62,1.65
RKT250218-N-1,4,78.74,10.47,7.10,114.85,5.01,2.10
RCB250218-N-1,5,102.62,12.82,8.00,411.23,32.54,3.19
RWA250218-N-1,6,103.62,16.15,14.20,1332.76,36.11,1.57
PLH250219-N-1,7,85.55,10.12,7.22,258.85,3.96,3.65
PLT250219-N-1,8,81.77,10.27,7.74,368.63,8.81,4.46
OCO250219-N-1,9,78.65,8.47,5.34,271.33,8.90,2.98
OMM250219-N-1,10,100.04,8.11,6.05,444.84,9.75,4.40
OUB250219-N-1,11,72.17,8.15,5.20,138.66,6.84,1.46
OPP250219-N-1,12,67.94,7.67,4.89,102.05,2.04,1.29
RHL250220-N-1,13,72.17,9.78,6.60,494.78,1.00,1.33
RON250220-N-1,14,73.52,9.69,5.68,112.94,1.87,1.16
RFS250220-N-1,15,110.53,12.77,10.02,449.73,30.89,4.86
RKO250220-N-1,16,92.40,12.21,10.86,548.37,26.71,2.04
RKV250220-N-1,17,77.74,9.11,7.03,311.29,8.33,1.04
LMT250221-N-1,18,83.95,10.00,6.30,344.89,9.33,8.49
LMR250221-N-1,19,75.51,9.61,6.20,683.78,3.28,3.94
LPS250221-N-1,20,75.79,8.82,5.65,251.26,3.33,5.62
LLH250221-N-1,21,84.15,11.50,7.00,289.80,3.27,5.72
PFF250221-N-1,22,79.12,8.59,6.17,375.23,5.73,2.41
