,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,11/6/2025,WM163,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
LLH251031-N-1,19,64.47,8.42,4.03,237.44,1.84,0.78
LMR251031-N-1,17,68.12,9.75,4.47,319.22,2.80,0.75
LMT251031-N-1,16,74.45,11.56,4.76,178.46,6.11,1.21
LPS251031-N-1,18,60.85,7.76,3.59,186.97,1.35,0.50
OCO251029-N-1,8,63.86,9.11,4.52,327.54,4.92,1.02
OMM251029-N-1,9,59.13,16.66,7.70,317.52,5.56,0.78
OPP251029-N-1,11,60.13,9.13,4.61,137.73,3.33,0.30
OUB251029-N-1,10,64.48,11.63,4.12,70.85,1.48,<0.28
PFF251031-N-1,20,70.71,10.55,5.97,155.37,2.28,1.53
PLH251029-N-1,6,67.83,11.80,7.14,362.64,6.37,1.87
PLT251029-N-1,7,77.19,14.37,9.45,543.51,9.50,2.94
RCB251028-N-1,4,75.42,12.43,6.14,203.22,9.50,1.57
RFS251030-N-1,13,79.43,13.31,8.07,275.33,12.68,0.89
RHL251030-N-1,12,64.95,9.87,4.82,316.73,2.58,<0.28
RKO251030-N-1,14,73.74,12.32,8.27,330.28,16.87,<0.28
RKS251028-N-1,3,61.32,11.50,6.37,312.30,3.50,<0.28
RKV251030-N-1,15,61.95,10.94,5.62,159.30,2.26,<0.28
RNS251028-N-1,1,64.15,11.36,5.69,253.13,6.74,<0.28
RPO251028-N-1,2,98.35,13.26,9.45,429.52,42.79,2.00
RWA251028-N-1,5,64.59,11.30,5.19,226.56,5.55,<0.28
