,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,4/10/2025,WM153,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS250401-N-1,1,191.77,19.80,12.77,438.00,19.71,5.50
RPO250401-N-1,2,233.26,16.06,10.59,1663.55,120.93,1.85
RKS250401-N-1,3,79.29,11.53,4.95,198.46,9.89,2.25
RCB250401-N-1,4,113.85,14.77,7.79,509.41,40.42,2.06
RWA250401-N-1,5,95.27,16.86,9.97,1000.48,27.26,1.03
PLH250402-N-1,6,85.02,13.10,6.55,248.79,4.50,5.86
PLT250402-N-1,7,80.89,13.56,6.01,223.54,5.16,2.44
OCO250402-N-1,8,73.84,10.25,4.79,354.60,8.69,2.27
OMM250402-N-1,9,80.75,10.11,4.81,408.36,7.70,6.87
OUB250402-N-1,10,69.67,11.46,4.74,116.12,3.46,0.81
OPP250402-N-1,11,61.99,10.34,3.92,78.19,1.34,0.97
RHL250403-N-1,12,79.16,15.93,6.38,350.80,2.46,3.19
RFS250403-N-1,13,204.66,22.96,18.32,2273.10,101.39,3.19
RKO250403-N-1,14,108.03,14.82,9.43,620.26,36.52,2.35
RKV250403-N-1,15,81.71,12.30,5.95,469.18,13.48,1.77
LMT250404-N-1,16,80.82,12.24,5.11,221.84,9.87,3.17
LMR250404-N-1,17,78.88,12.34,6.09,959.49,2.57,5.87
LPS250404-N-1,18,73.03,9.72,3.22,223.29,1.88,1.60
LLH250404-N-1,19,97.83,17.10,10.52,489.49,5.31,20.41
PFF250404-N-1,20,70.75,10.40,3.64,195.12,3.64,1.83
