,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,9/23/2025,WM161,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS250916-N-1,1,92.89,16.92,12.14,813.25,19.09,2.68
RPO250916-N-1,2,170.79,17.93,12.01,753.77,91.59,4.57
RKS250916-N-1,3,87.35,16.54,9.99,140.21,7.77,3.57
RCB250916-N-1,4,116.66,14.40,9.00,417.46,31.07,3.06
RWA250916-N-1,5,133.69,17.39,11.51,540.89,10.32,1.49
PLH250917-N-1,6,100.68,12.73,7.94,418.23,4.71,2.09
PLT250917-N-1,7,123.46,17.08,13.15,753.50,44.25,5.66
OCO250917-N-1,8,87.95,8.52,4.33,247.36,2.09,2.95
OMM250917-N-1,9,73.90,10.33,4.77,210.26,1.64,1.73
OUB250917-N-1,10,67.44,9.79,4.79,121.31,1.42,1.73
OPP250917-N-1,11,72.98,9.78,3.98,197.82,0.90,1.70
RHL250918-N-1,12,91.20,12.95,6.65,440.69,3.56,5.29
RFS250918-N-1,13,200.05,19.89,16.54,1625.42,111.35,2.74
RKO250918-N-1,14,96.73,15.09,8.21,423.98,19.61,1.69
RKV250918-N-1,15,86.53,11.05,6.04,373.90,13.56,1.90
LMT250919-N-1,16,88.12,11.46,4.97,267.34,7.47,1.69
LMR250919-N-1,17,73.85,10.94,4.34,238.45,2.67,1.65
LPS250919-N-1,18,73.83,9.53,3.57,170.66,1.10,1.75
LLH250919-N-1,19,94.94,13.30,7.73,580.48,8.51,4.71
PFF250919-N-1,20,95.75,12.42,6.86,233.66,5.94,3.64
