,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,6/12/2025,WM156,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS250603-N-1,1,126.84,24.71,13.15,840.33,29.13,4.31
RPO250603-N-1,2,308.89,23.05,13.53,1903.59,182.45,10.93
RKS250603-N-1,3,85.57,16.82,5.25,203.15,4.01,1.93
RCB250603-N-1,4,104.32,18.06,6.38,511.72,35.45,1.76
RWA250603-N-1,5,88.49,19.94,9.00,799.02,18.46,6.25
PLH250604-N-1,6,78.88,17.14,6.68,320.89,4.12,5.42
PLT250604-N-1,7,71.70,15.70,5.43,262.21,3.67,2.67
OCO250604-N-1,8,68.68,13.42,4.02,321.06,2.36,1.75
OMM250604-N-1,9,64.01,13.36,3.54,309.15,2.69,1.69
OUB250604-N-1,10,74.85,17.28,4.71,121.72,1.68,4.24
OPP250604-N-1,11,77.22,17.26,5.87,259.78,2.81,5.93
RHL250605-N-1,12,98.92,19.53,6.79,290.62,3.15,4.23
RFS250605-N-1,13,146.45,21.84,11.13,758.18,61.01,3.05
RKO250605-N-1,14,84.49,17.53,5.68,371.60,14.95,1.09
RKV250605-N-1,15,103.38,19.46,7.66,440.42,10.30,5.28
LMT250606-N-1,16,71.26,14.85,4.03,205.87,3.21,1.39
LMR250606-N-1,17,71.04,14.73,5.47,1114.30,1.85,1.51
LPS250606-N-1,18,68.71,14.19,3.20,268.32,1.03,1.17
LLH250606-N-1,19,83.94,19.97,8.40,478.80,4.64,5.36
PFF250606-N-1,20,76.59,14.64,5.05,216.52,4.25,1.46
