,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,2/4/2025,WM150,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS250128-N-1,1,77.54,9.59,4.41,200.85,8.84,<0.28
RPO250128-N-1,2,145.29,10.91,7.18,917.91,36.88,<0.28
RKS250128-N-1,3,81.62,8.50,4.18,283.70,7.23,0.41
RKT250128-N-1,4,72.39,9.60,5.05,189.87,6.53,1.06
RCB250128-N-1,5,78.16,9.35,3.64,177.48,9.07,0.49
RWA250128-N-1,6,88.28,11.48,8.21,800.29,18.32,2.05
PLH250129-N-1,7,112.33,10.05,6.45,485.61,8.63,3.77
PLT250129-N-1,8,87.80,10.58,5.80,533.78,11.56,1.65
OCO250129-N-1,9,86.37,5.53,1.94,257.04,10.42,0.38
OMM250129-N-1,10,72.57,4.64,2.12,304.08,5.76,0.62
OUB250129-N-1,11,82.67,4.86,1.39,121.27,11.87,0.44
OPP250129-N-1,12,64.67,6.67,2.45,105.84,1.72,0.83
LMT250131-N-1,13,373.60,37.54,33.64,1172.56,241.32,20.17
LMR250131-N-1,14,318.56,15.17,12.73,5044.13,179.36,7.01
LPS250131-N-1,15,115.25,15.75,10.45,401.77,34.15,2.12
LLH250131-N-1,16,96.12,11.96,6.62,255.48,13.66,9.98
PFF250131-N-1,17,107.64,12.03,7.30,608.50,28.83,3.80
