,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,7/22/2025,WM158,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS250715-N-1,1,109.27,13.01,9.31,503.05,21.44,3.43
RPO250715-N-1,2,354.28,16.00,13.36,1813.17,238.16,6.54
RKS250715-N-1,3,107.76,11.01,6.12,171.02,11.69,3.30
RCB250715-N-1,4,189.46,14.06,9.82,878.69,104.74,3.48
RWA250715-N-1,5,98.59,16.09,12.03,1074.18,30.89,1.13
PLH250716-N-1,6,85.46,15.26,10.51,496.40,6.26,4.06
PLT250716-N-1,7,97.95,13.80,8.72,526.91,12.73,7.61
OCO250716-N-1,8,88.18,7.92,4.52,244.61,2.58,4.55
OMM250716-N-1,9,79.19,7.94,5.44,305.99,4.13,2.83
OUB250716-N-1,10,73.35,7.50,3.84,80.19,1.54,1.14
OPP250716-N-1,11,81.93,8.72,4.13,87.79,1.07,1.97
RHL250717-N-1,12,125.49,11.01,5.30,173.60,1.68,6.16
RFS250717-N-1,13,128.59,15.94,11.85,649.50,48.97,2.30
RKO250717-N-1,14,84.68,10.37,6.71,251.78,14.83,1.29
RKV250717-N-1,15,89.49,9.35,4.60,202.72,5.68,1.96
LMT250718-N-1,16,90.85,10.34,6.16,395.70,13.41,3.75
LMR250718-N-1,17,74.59,11.06,5.93,294.21,3.28,2.14
LPS250718-N-1,18,73.63,8.62,4.04,144.16,1.24,1.22
LLH250718-N-1,19,77.18,10.38,4.95,140.10,2.65,2.81
PFF250718-N-1,20,80.23,13.93,8.29,198.69,3.83,5.24
